clock,passenger_enter,passenger_leave,car_enter,car_leave,motorcycle_enter,motorcycle_leave,bicycle_enter,bicycle_leave,walker,car_parked,motorcycle_parked,bicycle_parked,car_cannot_park,motorcycle_cannot_park,bicycle_cannot_park,car_left_failed,motorcycle_left_failed,bicycle_left_failed,remain_car_parking_space,remain_motorcycle_parking_space,car_occupied_long_term,motorcycle_occupied_long_term,bicycle_occupied_long_term,CPU_time(in second)
22,0,0,0,0,0,0,0,0,0,8,153,131,0,0,0,0,0,0,14,120,8,34,40,
23,0,20,0,6,0,4,0,6,4,8,149,125,0,0,0,6,0,0,14,127,8,34,40,
0,0,0,0,0,0,0,0,0,0,8,149,125,0,0,0,0,0,0,14,127,8,34,40,
1,0,0,0,0,0,0,0,0,0,8,149,125,0,0,0,0,0,0,14,127,8,34,40,
2,0,0,0,0,0,0,0,0,0,8,149,125,0,0,0,0,0,0,14,127,8,34,40,
3,0,0,0,0,0,0,0,0,0,8,149,125,0,0,0,0,0,0,14,127,8,34,40,
4,0,0,0,0,0,0,0,0,0,8,149,125,0,0,0,0,0,0,14,127,8,34,40,
5,7,3,1,1,3,1,1,0,3,8,151,126,0,0,0,0,0,0,14,125,8,34,40,
6,23,0,5,0,12,0,2,0,4,13,163,128,0,0,0,0,0,0,9,112,8,34,40,
7,13,0,3,0,8,0,2,0,0,16,171,130,0,0,0,0,0,0,6,103,8,34,40,
8,34,14,8,4,15,7,7,3,4,18,179,134,2,0,0,0,0,0,4,93,8,34,40,
9,17,7,3,1,7,4,2,1,6,20,182,135,0,0,0,0,0,0,2,89,8,34,40,
10,14,6,3,1,6,3,1,1,5,21,185,135,1,0,0,0,0,0,1,86,8,34,40,
11,7,7,1,1,3,4,1,1,3,21,184,135,0,0,0,0,0,0,1,87,8,34,40,
12,4,4,1,1,1,2,0,0,3,21,183,135,0,0,0,0,0,0,1,88,8,34,40,
13,10,10,2,2,4,4,1,1,6,20,183,135,1,0,0,0,0,0,2,88,8,34,40,
14,18,18,4,5,9,9,2,4,3,17,183,133,2,0,0,0,0,0,5,89,8,34,40,
15,7,7,1,1,3,3,1,1,4,17,183,133,0,0,0,0,0,0,5,89,8,34,40,
16,9,9,2,2,4,4,1,1,4,17,183,133,0,0,0,0,0,0,5,89,8,34,40,
17,17,17,3,3,7,9,3,2,7,17,181,134,0,0,0,0,0,0,5,91,8,34,40,
18,13,32,3,6,5,19,4,5,3,14,167,133,0,0,0,0,0,0,8,105,8,34,40,
19,3,9,1,2,2,5,1,2,-1,13,164,132,0,0,0,0,0,0,9,109,8,34,40,
20,9,22,2,6,4,11,2,4,2,9,157,130,0,0,0,0,0,0,13,117,8,34,40,
21,3,7,1,2,1,4,0,1,1,8,154,129,0,0,0,0,0,0,14,120,8,34,40,
22,0,0,0,0,0,0,0,0,0,8,154,129,0,0,0,0,0,0,14,120,8,34,40,
23,0,16,0,5,0,3,0,4,4,8,151,125,0,0,0,5,0,0,14,125,8,34,40,
0,0,0,0,0,0,0,0,0,0,8,151,125,0,0,0,0,0,0,14,125,8,34,40,
1,0,0,0,0,0,0,0,0,0,8,151,125,0,0,0,0,0,0,14,125,8,34,40,
