clock,passenger_enter,passenger_leave,car_enter,car_leave,motorcycle_enter,motorcycle_leave,bicycle_enter,bicycle_leave,walker,car_parked,motorcycle_parked,bicycle_parked,car_cannot_park,motorcycle_cannot_park,bicycle_cannot_park,car_left_failed,motorcycle_left_failed,bicycle_left_failed,CPU_time
14,21,21,4,4,6,6,4,4,14,18,5,77,0,0,0,0,0,0,
15,6,6,1,1,2,2,1,1,4,18,5,77,0,0,0,0,0,0,
16,12,12,2,2,4,4,2,2,8,18,5,77,0,0,0,0,0,0,
17,50,14,3,0,5,5,11,1,39,21,5,87,0,0,0,0,0,0,
18,5,51,1,4,2,13,1,4,31,18,0,84,0,0,0,0,6,0,
19,4,4,1,1,1,1,1,1,2,18,0,84,0,0,0,0,0,0,
20,18,18,4,4,5,5,4,4,10,18,0,84,0,0,0,0,0,0,
21,5,5,1,1,2,2,1,1,2,18,0,84,0,0,0,0,0,0,
22,0,0,0,0,0,0,0,0,0,18,0,84,0,0,0,0,0,0,
23,14,14,3,3,4,4,3,3,8,18,0,84,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,18,0,84,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,18,0,84,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,18,0,84,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,18,0,84,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,18,0,84,0,0,0,0,0,0,
5,3,3,1,1,1,1,1,1,0,18,0,84,0,0,0,0,0,0,
6,15,0,1,0,4,0,1,0,9,19,4,85,0,0,0,0,0,0,
7,13,0,3,0,0,0,1,0,9,22,4,86,0,0,0,0,0,0,
8,20,20,4,4,6,6,4,4,12,18,4,86,4,0,0,0,0,0,
9,14,14,3,3,4,4,3,3,8,18,4,86,0,0,0,0,0,0,
10,10,10,2,2,3,3,2,2,6,18,4,86,0,0,0,0,0,0,
11,12,12,2,2,4,4,2,2,8,18,4,86,0,0,0,0,0,0,
12,4,4,1,1,1,1,1,1,2,18,4,86,0,0,0,0,0,0,
13,10,10,2,2,3,3,2,2,6,18,4,86,0,0,0,0,0,0,
14,11,11,2,2,3,3,2,2,8,18,4,86,0,0,0,0,0,0,
15,9,9,2,2,3,3,2,2,4,18,4,86,0,0,0,0,0,0,
16,9,9,2,2,3,3,2,2,4,18,4,86,0,0,0,0,0,0,
17,46,12,3,0,5,4,10,1,35,21,5,95,0,0,0,0,0,0,
18,7,69,1,6,2,18,1,6,42,16,0,90,0,0,0,0,11,0,
19,3,3,1,1,1,1,1,1,0,16,0,90,0,0,0,0,0,0,
20,19,19,4,4,6,6,4,4,10,16,0,90,0,0,0,0,0,0,
21,4,4,1,1,1,1,1,1,2,16,0,90,0,0,0,0,0,0,
22,0,0,0,0,0,0,0,0,0,16,0,90,0,0,0,0,0,0,
23,14,14,3,3,4,4,3,3,8,16,0,90,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,16,0,90,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,16,0,90,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,16,0,90,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,16,0,90,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,16,0,90,0,0,0,0,0,0,
5,5,5,1,1,2,2,1,1,2,16,0,90,0,0,0,0,0,0,
6,31,0,3,0,8,0,3,0,17,19,8,93,0,0,0,0,0,0,
7,13,0,3,0,0,0,1,0,9,22,8,94,0,0,0,0,0,0,
8,18,18,4,4,5,5,4,4,10,18,8,94,4,0,0,0,0,0,
9,10,10,2,2,3,3,2,2,6,18,8,94,0,0,0,0,0,0,
10,10,10,2,2,3,3,2,2,6,18,8,94,0,0,0,0,0,0,
11,7,7,1,1,2,2,1,1,6,18,8,94,0,0,0,0,0,0,
12,4,4,1,1,1,1,1,1,2,18,8,94,0,0,0,0,0,0,
13,9,9,2,2,3,3,2,2,4,18,8,94,0,0,0,0,0,0,
14,23,23,5,5,7,7,5,5,12,17,8,94,1,0,0,0,0,0,
15,6,6,1,1,2,2,1,1,4,17,8,94,0,0,0,0,0,0,
16,7,7,1,1,2,2,1,1,6,17,8,94,0,0,0,0,0,0,
17,50,14,3,0,5,5,11,1,39,20,8,104,0,0,0,0,0,0,
18,6,57,1,5,2,15,1,5,34,16,0,100,0,0,0,0,5,0,
19,2,2,0,0,1,1,0,0,2,16,0,100,0,0,0,0,0,0,
20,24,24,5,5,7,7,5,5,14,16,0,100,0,0,0,0,0,0,
21,4,4,1,1,1,1,1,1,2,16,0,100,0,0,0,0,0,0,
22,0,0,0,0,0,0,0,0,0,16,0,100,0,0,0,0,0,0,
23,22,22,4,4,7,7,4,4,14,16,0,100,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,16,0,100,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,16,0,100,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,16,0,100,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,16,0,100,0,0,0,0,0,0,
