clock,passenger_enter,passenger_leave,car_enter,car_leave,motorcycle_enter,motorcycle_leave,bicycle_enter,bicycle_leave,walker,car_parked,motorcycle_parked,bicycle_parked,car_cannot_park,motorcycle_cannot_park,bicycle_cannot_park,car_left_failed,motorcycle_left_failed,bicycle_left_failed,remain_car_parking_space,remain_motorcycle_parking_space,CPU_time(in second)
11,8,8,2,2,3,4,1,1,3,28,97,63,0,0,0,0,0,0,62,498,
12,5,5,1,1,2,2,0,0,4,28,97,63,0,0,0,0,0,0,62,498,
13,12,12,2,2,5,5,1,1,8,28,97,63,0,0,0,0,0,0,62,498,
14,13,13,3,4,6,6,1,3,3,27,97,61,0,0,0,0,0,0,63,499,
15,9,9,2,2,4,4,1,1,4,27,97,61,0,0,0,0,0,0,63,499,
16,12,12,2,2,5,5,1,1,8,27,97,61,0,0,0,0,0,0,63,499,
17,25,25,5,5,10,14,5,3,8,27,93,63,0,0,0,0,0,0,63,502,
18,16,39,3,8,6,23,5,6,4,22,76,62,0,0,0,0,0,0,68,520,
19,6,16,1,4,3,9,2,3,0,19,70,61,0,0,0,0,0,0,71,526,
20,11,25,2,7,4,13,2,5,3,14,61,58,0,0,0,0,0,0,76,537,
21,4,9,1,2,2,5,0,2,1,13,58,56,0,0,0,0,0,0,77,541,
22,0,0,0,0,0,0,0,0,0,13,58,56,0,0,0,0,0,0,77,541,
23,0,16,0,5,0,3,0,4,4,8,55,52,0,0,0,0,0,0,82,546,
0,0,0,0,0,0,0,0,0,0,8,55,52,0,0,0,0,0,0,82,546,
1,0,0,0,0,0,0,0,0,0,8,55,52,0,0,0,0,0,0,82,546,
2,0,0,0,0,0,0,0,0,0,8,55,52,0,0,0,0,0,0,82,546,
3,0,0,0,0,0,0,0,0,0,8,55,52,0,0,0,0,0,0,82,546,
4,0,0,0,0,0,0,0,0,0,8,55,52,0,0,0,0,0,0,82,546,
5,4,1,1,0,2,0,0,0,2,9,57,52,0,0,0,0,0,0,81,544,
6,38,0,8,0,19,0,4,0,7,17,76,56,0,0,0,0,0,0,73,523,
7,18,0,4,0,11,0,3,0,0,21,87,59,0,0,0,0,0,0,69,510,
8,20,8,5,2,9,4,4,2,2,24,92,61,0,0,0,0,0,0,66,504,
9,21,9,4,2,8,5,2,1,8,26,95,62,0,0,0,0,0,0,64,501,
10,14,6,3,1,6,3,1,1,5,28,98,62,0,0,0,0,0,0,62,498,
11,11,11,2,2,4,6,1,1,6,28,96,62,0,0,0,0,0,0,62,500,
12,1,1,0,0,0,0,0,0,2,28,96,62,0,0,0,0,0,0,62,500,
13,11,11,2,2,4,4,1,1,8,28,96,62,0,0,0,0,0,0,62,500,
14,16,16,3,5,8,8,2,3,3,26,96,61,0,0,0,0,0,0,64,500,
15,13,13,3,3,5,5,1,1,8,26,96,61,0,0,0,0,0,0,64,500,
16,10,10,2,2,4,4,1,1,6,26,96,61,0,0,0,0,0,0,64,500,
17,19,19,4,4,8,10,4,2,6,26,94,63,0,0,0,0,0,0,64,501,
18,15,36,3,7,6,22,4,5,4,22,78,62,0,0,0,0,0,0,68,518,
19,7,18,1,4,4,10,2,4,0,19,72,60,0,0,0,0,0,0,71,525,
20,9,21,2,6,4,11,2,4,1,15,65,58,0,0,0,0,0,0,75,533,
21,2,5,0,1,1,3,0,1,1,14,63,57,0,0,0,0,0,0,76,535,
22,0,0,0,0,0,0,0,0,0,14,63,57,0,0,0,0,0,0,76,535,
23,0,25,0,8,0,5,0,7,5,6,58,50,0,0,0,0,0,0,84,544,
0,0,0,0,0,0,0,0,0,0,6,58,50,0,0,0,0,0,0,84,544,
1,0,0,0,0,0,0,0,0,0,6,58,50,0,0,0,0,0,0,84,544,
2,0,0,0,0,0,0,0,0,0,6,58,50,0,0,0,0,0,0,84,544,
3,0,0,0,0,0,0,0,0,0,6,58,50,0,0,0,0,0,0,84,544,
4,0,0,0,0,0,0,0,0,0,6,58,50,0,0,0,0,0,0,84,544,
5,7,3,1,1,3,1,1,0,3,6,60,51,0,0,0,0,0,0,84,541,
6,37,0,7,0,18,0,4,0,8,13,78,55,0,0,0,0,0,0,77,521,
7,21,0,4,0,13,0,3,0,1,17,91,58,0,0,0,0,0,0,73,507,
8,19,8,5,2,9,4,4,2,1,20,96,60,0,0,0,0,0,0,70,501,
9,23,9,5,2,9,5,2,1,8,23,100,61,0,0,0,0,0,0,67,496,
10,13,5,3,1,5,2,1,0,6,25,103,62,0,0,0,0,0,0,65,493,
11,12,12,2,2,5,6,1,1,7,25,102,62,0,0,0,0,0,0,65,494,
12,5,5,1,1,2,2,0,0,4,25,102,62,0,0,0,0,0,0,65,494,
13,14,14,3,3,6,6,1,1,8,25,102,62,0,0,0,0,0,0,65,494,
14,15,15,3,4,8,8,2,3,2,24,102,61,0,0,0,0,0,0,66,494,
15,10,10,2,2,4,4,1,1,6,24,102,61,0,0,0,0,0,0,66,494,
16,9,9,2,2,4,4,1,1,4,24,102,61,0,0,0,0,0,0,66,494,
17,26,26,5,5,10,14,5,3,10,24,98,63,0,0,0,0,0,0,66,497,
18,15,37,3,7,6,22,4,6,4,20,82,61,0,0,0,0,0,0,70,514,
19,3,7,1,2,2,4,1,1,-1,19,80,61,0,0,0,0,0,0,71,516,
20,10,23,2,6,4,12,2,5,2,15,72,58,0,0,0,0,0,0,75,526,
21,3,7,1,2,1,4,0,1,1,14,69,57,0,0,0,0,0,0,76,529,
22,0,0,0,0,0,0,0,0,0,14,69,57,0,0,0,0,0,0,76,529,
23,0,20,0,6,0,4,0,6,4,8,65,51,0,0,0,0,0,0,82,536,
0,0,0,0,0,0,0,0,0,0,8,65,51,0,0,0,0,0,0,82,536,
1,0,0,0,0,0,0,0,0,0,8,65,51,0,0,0,0,0,0,82,536,
2,0,0,0,0,0,0,0,0,0,8,65,51,0,0,0,0,0,0,82,536,
3,0,0,0,0,0,0,0,0,0,8,65,51,0,0,0,0,0,0,82,536,
4,0,0,0,0,0,0,0,0,0,8,65,51,0,0,0,0,0,0,82,536,
5,6,2,1,0,2,1,1,0,3,9,66,52,0,0,0,0,0,0,81,535,
6,34,0,7,0,17,0,3,0,7,16,83,55,0,0,0,0,0,0,74,516,
7,19,0,4,0,11,0,3,0,1,20,94,58,0,0,0,0,0,0,70,504,
8,34,14,8,4,15,7,7,3,4,24,102,62,0,0,0,0,0,0,66,494,
9,25,11,5,2,10,6,2,1,10,27,106,63,0,0,0,0,0,0,63,489,
10,11,5,2,1,4,2,1,0,6,28,108,64,0,0,0,0,0,0,62,487,
11,11,11,2,2,4,6,1,1,6,28,106,64,0,0,0,0,0,0,62,489,
12,4,4,1,1,1,2,0,0,3,28,105,64,0,0,0,0,0,0,62,490,
13,10,10,2,2,4,4,1,1,6,28,105,64,0,0,0,0,0,0,62,490,
14,15,15,3,4,8,8,2,3,2,27,105,63,0,0,0,0,0,0,63,490,
15,15,15,3,3,6,6,2,2,8,27,105,63,0,0,0,0,0,0,63,490,
16,10,10,2,2,4,4,1,1,6,27,105,63,0,0,0,0,0,0,63,490,
17,22,22,4,4,9,12,4,3,8,27,102,64,0,0,0,0,0,0,63,493,
18,15,37,3,7,6,22,4,6,4,23,86,62,0,0,0,0,0,0,67,510,
19,4,10,1,2,2,6,1,2,0,22,82,61,0,0,0,0,0,0,68,514,
20,12,30,2,8,5,15,2,6,4,16,72,57,0,0,0,0,0,0,74,526,
21,4,10,1,2,2,6,0,2,1,15,68,55,0,0,0,0,0,0,75,531,
22,0,0,0,0,0,0,0,0,0,15,68,55,0,0,0,0,0,0,75,531,
23,0,22,0,7,0,4,0,6,5,8,64,49,0,0,0,0,0,0,82,538,
0,0,0,0,0,0,0,0,0,0,8,64,49,0,0,0,0,0,0,82,538,
1,0,0,0,0,0,0,0,0,0,8,64,49,0,0,0,0,0,0,82,538,
2,0,0,0,0,0,0,0,0,0,8,64,49,0,0,0,0,0,0,82,538,
3,0,0,0,0,0,0,0,0,0,8,64,49,0,0,0,0,0,0,82,538,
4,0,0,0,0,0,0,0,0,0,8,64,49,0,0,0,0,0,0,82,538,
5,6,2,1,0,2,1,1,0,3,9,65,50,0,0,0,0,0,0,81,537,
6,25,0,5,0,12,0,2,0,6,14,77,52,0,0,0,0,0,0,76,524,
7,16,0,3,0,10,0,2,0,1,17,87,54,0,0,0,0,0,0,73,513,
8,33,14,8,4,15,7,7,3,3,21,95,58,0,0,0,0,0,0,69,503,
9,16,7,3,1,6,4,2,1,6,23,97,59,0,0,0,0,0,0,67,500,
10,25,10,5,2,10,5,2,1,10,26,102,60,0,0,0,0,0,0,64,495,
11,6,6,1,1,2,3,1,1,3,26,101,60,0,0,0,0,0,0,64,496,
12,4,4,1,1,1,2,0,0,3,26,100,60,0,0,0,0,0,0,64,497,
13,12,12,2,2,5,5,1,1,8,26,100,60,0,0,0,0,0,0,64,497,
14,18,18,4,5,9,9,2,4,3,25,100,58,0,0,0,0,0,0,65,498,
15,8,8,2,2,3,3,1,1,4,25,100,58,0,0,0,0,0,0,65,498,
16,10,10,2,2,4,4,1,1,6,25,100,58,0,0,0,0,0,0,65,498,
17,21,21,4,4,8,12,4,3,7,25,96,59,0,0,0,0,0,0,65,501,
18,14,33,3,7,6,20,4,5,2,21,82,58,0,0,0,0,0,0,69,516,
19,3,9,1,2,2,5,1,2,-1,20,79,57,0,0,0,0,0,0,70,519,
20,9,21,2,6,4,11,2,4,1,16,72,55,0,0,0,0,0,0,74,527,
21,3,7,1,2,1,4,0,1,1,15,69,54,0,0,0,0,0,0,75,531,
22,0,0,0,0,0,0,0,0,0,15,69,54,0,0,0,0,0,0,75,531,
23,0,23,0,7,0,5,0,6,5,8,64,48,0,0,0,0,0,0,82,539,
